pull_request,creator,creator_type,reviewer,reviewer_type,is_equal
15968,Ingramz,Volunteers,50Wliu,Volunteers,No
15958,jasonrudolph,Employees,jasonrudolph,Employees,Yes
15954,leroix,Volunteers,leroix,Volunteers,Yes
15948,Fank,Volunteers,50Wliu,Volunteers,No
15947,jasonrudolph,Employees,jasonrudolph,Employees,Yes
15945,50Wliu,Volunteers,as-cii,Employees,No
15939,Fank,Volunteers,50Wliu,Volunteers,No
15938,jasonrudolph,Employees,jasonrudolph,Employees,Yes
15936,jasonrudolph,Employees,jasonrudolph,Employees,Yes
15935,BinaryMuse,Employees,BinaryMuse,Employees,Yes
15918,FalkF,Volunteers,BinaryMuse,Employees,No
15916,as-cii,Employees,as-cii,Employees,Yes
15906,Ben3eeE,Volunteers,lee-dohm,Employees,No
15904,laurmurclar,Volunteers,Ben3eeE,Volunteers,No
15898,jasonrudolph,Employees,jasonrudolph,Employees,Yes
15894,leroix,Volunteers,leroix,Volunteers,Yes
15882,leroix,Volunteers,leroix,Volunteers,Yes
15865,as-cii,Employees,as-cii,Employees,Yes
15840,lee-dohm,Employees,lee-dohm,Employees,Yes
15838,jasonrudolph,Employees,jasonrudolph,Employees,Yes
15834,jasonrudolph,Employees,jasonrudolph,Employees,Yes
15833,as-cii,Employees,nathansobo,Employees,No
15828,nathansobo,Employees,nathansobo,Employees,Yes
15823,jasonrudolph,Employees,jasonrudolph,Employees,Yes
15821,as-cii,Employees,nathansobo,Employees,No
15800,nathansobo,Employees,nathansobo,Employees,Yes
15799,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
15798,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
15785,arnavb,Volunteers,maxbrunsfeld,Employees,No
15777,matthewwithanm,Volunteers,maxbrunsfeld,Employees,No
15776,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
15775,Ben3eeE,Volunteers,lee-dohm,Employees,No
15770,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
15769,iolsen,Employees,iolsen,Employees,Yes
15768,Ben3eeE,Volunteers,ungb,Employees,No
15760,thomasjo,Volunteers,thomasjo,Volunteers,Yes
15759,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
15750,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
15740,smashwilson,Employees,smashwilson,Employees,Yes
15729,50Wliu,Volunteers,50Wliu,Volunteers,Yes
15713,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
15712,50Wliu,Volunteers,50Wliu,Volunteers,Yes
15692,UziTech,Volunteers,maxbrunsfeld,Employees,No
15683,dreiss,Volunteers,BinaryMuse,Employees,No
15681,smashwilson,Employees,smashwilson,Employees,Yes
15678,jasonrudolph,Employees,jasonrudolph,Employees,Yes
15669,BenRussert,Volunteers,50Wliu,Volunteers,No
15656,smashwilson,Employees,smashwilson,Employees,Yes
15654,BinaryMuse,Employees,BinaryMuse,Employees,Yes
15652,jasonrudolph,Employees,jasonrudolph,Employees,Yes
15649,Ben3eeE,Volunteers,Ben3eeE,Volunteers,Yes
15643,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
15638,smashwilson,Employees,smashwilson,Employees,Yes
15627,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
15623,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
15618,t9md,Volunteers,50Wliu,Volunteers,No
15613,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
15606,lee-dohm,Employees,lee-dohm,Employees,Yes
15603,jsoref,Volunteers,50Wliu,Volunteers,No
15588,jasonrudolph,Employees,jasonrudolph,Employees,Yes
15583,as-cii,Employees,as-cii,Employees,Yes
15580,as-cii,Employees,as-cii,Employees,Yes
15577,Ingramz,Volunteers,as-cii,Employees,No
15566,50Wliu,Volunteers,50Wliu,Volunteers,Yes
15557,as-cii,Employees,damieng,Employees,No
15554,damieng,Employees,damieng,Employees,Yes
15551,50Wliu,Volunteers,50Wliu,Volunteers,Yes
15550,as-cii,Employees,as-cii,Employees,Yes
15546,as-cii,Employees,as-cii,Employees,Yes
15528,as-cii,Employees,as-cii,Employees,Yes
15522,damieng,Employees,damieng,Employees,Yes
15515,as-cii,Employees,as-cii,Employees,Yes
15506,as-cii,Employees,as-cii,Employees,Yes
15503,as-cii,Employees,as-cii,Employees,Yes
15498,MoritzKn,Volunteers,daviwil,Employees,No
15495,iolsen,Employees,iolsen,Employees,Yes
15492,lee-dohm,Employees,lee-dohm,Employees,Yes
15487,as-cii,Employees,as-cii,Employees,Yes
15486,as-cii,Employees,as-cii,Employees,Yes
15475,50Wliu,Volunteers,50Wliu,Volunteers,Yes
15474,50Wliu,Volunteers,50Wliu,Volunteers,Yes
15446,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
15440,kuychaco,Employees,smashwilson,Employees,No
15438,Ben3eeE,Volunteers,jasonrudolph,Employees,No
15433,Ben3eeE,Volunteers,jasonrudolph,Employees,No
15420,as-cii,Employees,nathansobo,Employees,No
15416,nathansobo,Employees,nathansobo,Employees,Yes
15415,Xapphire13,Volunteers,BinaryMuse,Employees,No
15414,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
15413,smashwilson,Employees,smashwilson,Employees,Yes
15407,as-cii,Employees,nathansobo,Employees,No
15394,wbinnssmith,Volunteers,nathansobo,Employees,No
15392,wbinnssmith,Volunteers,nathansobo,Employees,No
15389,as-cii,Employees,nathansobo,Employees,No
15384,nathansobo,Employees,as-cii,Employees,No
15383,wbinnssmith,Volunteers,nathansobo,Employees,No
15380,marceloatie,Volunteers,ungb,Employees,No
15378,as-cii,Employees,as-cii,Employees,Yes
15377,smashwilson,Employees,smashwilson,Employees,Yes
15374,kuychaco,Employees,nathansobo,Employees,No
15373,iolsen,Employees,iolsen,Employees,Yes
15372,as-cii,Employees,nathansobo,Employees,No
15367,as-cii,Employees,nathansobo,Employees,No
15359,as-cii,Employees,nathansobo,Employees,No
15357,as-cii,Employees,as-cii,Employees,Yes
15347,nathansobo,Employees,nathansobo,Employees,Yes
15346,nathansobo,Employees,nathansobo,Employees,Yes
15345,nathansobo,Employees,nathansobo,Employees,Yes
15339,nathansobo,Employees,as-cii,Employees,No
15338,nathansobo,Employees,nathansobo,Employees,Yes
15337,nathansobo,Employees,nathansobo,Employees,Yes
15329,ungb,Employees,nathansobo,Employees,No
15327,captbaritone,Volunteers,nathansobo,Employees,No
15324,nathansobo,Employees,nathansobo,Employees,Yes
15322,nathansobo,Employees,nathansobo,Employees,Yes
15317,as-cii,Employees,nathansobo,Employees,No
15314,as-cii,Employees,nathansobo,Employees,No
15313,as-cii,Employees,nathansobo,Employees,No
15310,as-cii,Employees,nathansobo,Employees,No
15302,nathansobo,Employees,nathansobo,Employees,Yes
15299,as-cii,Employees,nathansobo,Employees,No
15296,as-cii,Employees,nathansobo,Employees,No
15285,nathansobo,Employees,nathansobo,Employees,Yes
15277,captbaritone,Volunteers,nathansobo,Employees,No
15276,captbaritone,Volunteers,nathansobo,Employees,No
15275,as-cii,Employees,nathansobo,Employees,No
15273,as-cii,Employees,nathansobo,Employees,No
15270,as-cii,Employees,nathansobo,Employees,No
15266,nathansobo,Employees,nathansobo,Employees,Yes
15265,nathansobo,Employees,nathansobo,Employees,Yes
15264,captbaritone,Volunteers,maxbrunsfeld,Employees,No
15244,nathansobo,Employees,nathansobo,Employees,Yes
15240,as-cii,Employees,as-cii,Employees,Yes
15234,jasonrudolph,Employees,jasonrudolph,Employees,Yes
15228,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
15224,50Wliu,Volunteers,50Wliu,Volunteers,Yes
15214,50Wliu,Volunteers,50Wliu,Volunteers,Yes
15208,smashwilson,Employees,smashwilson,Employees,Yes
15198,mrnonz,Volunteers,50Wliu,Volunteers,No
15191,smashwilson,Employees,smashwilson,Employees,Yes
15186,Ben3eeE,Volunteers,ungb,Employees,No
15183,jasonrudolph,Employees,jasonrudolph,Employees,Yes
15179,Kreozot,Volunteers,50Wliu,Volunteers,No
15170,lee-dohm,Employees,lee-dohm,Employees,Yes
15169,jasonrudolph,Employees,nathansobo,Employees,No
15163,wbinnssmith,Volunteers,ungb,Employees,No
15154,jasonrudolph,Employees,jasonrudolph,Employees,Yes
15148,nathansobo,Employees,nathansobo,Employees,Yes
15147,nathansobo,Employees,jasonrudolph,Employees,No
15145,jasonrudolph,Employees,jasonrudolph,Employees,Yes
15138,alanyee,Volunteers,50Wliu,Volunteers,No
15137,BinaryMuse,Employees,BinaryMuse,Employees,Yes
15135,jasonrudolph,Employees,jasonrudolph,Employees,Yes
15124,smashwilson,Employees,smashwilson,Employees,Yes
15121,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
15108,nathansobo,Employees,nathansobo,Employees,Yes
15082,t9md,Volunteers,maxbrunsfeld,Employees,No
15081,mortenpi,Volunteers,damieng,Employees,No
15059,damieng,Employees,damieng,Employees,Yes
15054,damieng,Employees,damieng,Employees,Yes
15052,nathansobo,Employees,nathansobo,Employees,Yes
15051,maxbrunsfeld,Employees,ungb,Employees,No
15043,damieng,Employees,damieng,Employees,Yes
15041,jasonrudolph,Employees,nathansobo,Employees,No
15023,jasonrudolph,Employees,jasonrudolph,Employees,Yes
15014,damieng,Employees,damieng,Employees,Yes
15013,as-cii,Employees,ungb,Employees,No
15011,mehcode,Volunteers,ungb,Employees,No
15008,50Wliu,Volunteers,50Wliu,Volunteers,Yes
15004,damieng,Employees,damieng,Employees,Yes
15003,damieng,Employees,damieng,Employees,Yes
14998,simurai,Employees,simurai,Employees,Yes
14997,damieng,Employees,damieng,Employees,Yes
14987,nathansobo,Employees,ungb,Employees,No
14967,as-cii,Employees,as-cii,Employees,Yes
14959,BinaryMuse,Employees,BinaryMuse,Employees,Yes
14955,as-cii,Employees,as-cii,Employees,Yes
14948,nathansobo,Employees,nathansobo,Employees,Yes
14931,UziTech,Volunteers,nathansobo,Employees,No
14929,as-cii,Employees,as-cii,Employees,Yes
14905,matthewwithanm,Volunteers,BinaryMuse,Employees,No
14897,as-cii,Employees,as-cii,Employees,Yes
14895,as-cii,Employees,as-cii,Employees,Yes
14893,as-cii,Employees,as-cii,Employees,Yes
14886,TimvdLippe,Volunteers,maxbrunsfeld,Employees,No
14853,smashwilson,Employees,smashwilson,Employees,Yes
14835,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
14795,50Wliu,Volunteers,lee-dohm,Employees,No
14790,nathansobo,Employees,nathansobo,Employees,Yes
14788,paulcbetts,Volunteers,iolsen,Employees,No
14782,paulcbetts,Volunteers,damieng,Employees,No
14773,damieng,Employees,damieng,Employees,Yes
14769,as-cii,Employees,as-cii,Employees,Yes
14763,wrongway4you,Volunteers,50Wliu,Volunteers,No
14761,jasonrudolph,Employees,as-cii,Employees,No
14753,tjkohli,Volunteers,lee-dohm,Employees,No
14745,damieng,Employees,damieng,Employees,Yes
14736,matthewwithanm,Volunteers,maxbrunsfeld,Employees,No
14734,as-cii,Employees,as-cii,Employees,Yes
14729,50Wliu,Volunteers,50Wliu,Volunteers,Yes
14725,jasonrudolph,Employees,jasonrudolph,Employees,Yes
14718,BinaryMuse,Employees,BinaryMuse,Employees,Yes
14711,simurai,Employees,simurai,Employees,Yes
14701,paulcbetts,Volunteers,iolsen,Employees,No
14698,as-cii,Employees,as-cii,Employees,Yes
14697,lee-dohm,Employees,lee-dohm,Employees,Yes
14695,jasonrudolph,Employees,jasonrudolph,Employees,Yes
14694,nathansobo,Employees,as-cii,Employees,No
14693,as-cii,Employees,as-cii,Employees,Yes
14690,damieng,Employees,damieng,Employees,Yes
14686,as-cii,Employees,as-cii,Employees,Yes
14682,paulcbetts,Volunteers,as-cii,Employees,No
14657,simurai,Employees,simurai,Employees,Yes
14654,UziTech,Volunteers,rsese,Employees,No
14645,jasonrudolph,Employees,jasonrudolph,Employees,Yes
14643,lee-dohm,Employees,lee-dohm,Employees,Yes
14640,jasonrudolph,Employees,jasonrudolph,Employees,Yes
14634,50Wliu,Volunteers,50Wliu,Volunteers,Yes
14621,kuychaco,Employees,BinaryMuse,Employees,No
14574,lee-dohm,Employees,lee-dohm,Employees,Yes
14553,as-cii,Employees,as-cii,Employees,Yes
14503,BinaryMuse,Employees,as-cii,Employees,No
14495,warrenpnz,Volunteers,iolsen,Employees,No
14492,mrngoitall,Volunteers,lee-dohm,Employees,No
14485,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
14460,jasonrudolph,Employees,jasonrudolph,Employees,Yes
14459,lee-dohm,Employees,lee-dohm,Employees,Yes
14445,kuychaco,Employees,kuychaco,Employees,Yes
14435,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
14432,50Wliu,Volunteers,50Wliu,Volunteers,Yes
14428,50Wliu,Volunteers,50Wliu,Volunteers,Yes
14427,hansonw,Volunteers,iolsen,Employees,No
14424,BinaryMuse,Employees,BinaryMuse,Employees,Yes
14420,matthewwithanm,Volunteers,iolsen,Employees,No
14419,Positive07,Volunteers,50Wliu,Volunteers,No
14417,lee-dohm,Employees,lee-dohm,Employees,Yes
14416,BinaryMuse,Employees,kuychaco,Employees,No
14415,BinaryMuse,Employees,BinaryMuse,Employees,Yes
14413,50Wliu,Volunteers,50Wliu,Volunteers,Yes
14403,matthewwithanm,Volunteers,as-cii,Employees,No
14398,as-cii,Employees,as-cii,Employees,Yes
14393,torn4dom4n,Volunteers,BinaryMuse,Employees,No
14391,as-cii,Employees,as-cii,Employees,Yes
14387,nathansobo,Employees,nathansobo,Employees,Yes
14386,nathansobo,Employees,nathansobo,Employees,Yes
14382,lee-dohm,Employees,lee-dohm,Employees,Yes
14375,matthewwithanm,Volunteers,maxbrunsfeld,Employees,No
14372,BinaryMuse,Employees,BinaryMuse,Employees,Yes
14367,smashwilson,Employees,smashwilson,Employees,Yes
14352,as-cii,Employees,as-cii,Employees,Yes
14339,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
14331,BinaryMuse,Employees,BinaryMuse,Employees,Yes
14320,hansonw,Volunteers,as-cii,Employees,No
14309,BinaryMuse,Employees,BinaryMuse,Employees,Yes
14293,BinaryMuse,Employees,BinaryMuse,Employees,Yes
14287,damieng,Employees,damieng,Employees,Yes
14276,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
14271,damieng,Employees,damieng,Employees,Yes
14269,BinaryMuse,Employees,BinaryMuse,Employees,Yes
14261,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
14250,smashwilson,Employees,smashwilson,Employees,Yes
14249,50Wliu,Volunteers,50Wliu,Volunteers,Yes
14239,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
14221,matthewwithanm,Volunteers,maxbrunsfeld,Employees,No
